CK01   119.5121 22.5509   26.816   15.189    0.009    0.009
CK02   119.5121 22.6856   26.999   12.856    0.009    0.009
CK03   119.5121 22.8203   19.898   15.415    0.009    0.009
CK04   119.5121 22.9551   14.710   17.788    0.009    0.009
CK05   119.5121 23.0898    5.647    9.574    0.009    0.009
CK06   119.5121 23.2246    0.626    4.774    0.009    0.009
CK07   119.5121 23.3593    0.348    3.898    0.009    0.008
CK08   119.6585 22.5509   26.445   13.493    0.009    0.008
CK09   119.6585 22.6856   28.277   14.481    0.009    0.009
CK10   119.6585 22.8203   23.975   15.674    0.008    0.008
CK11   119.6585 22.9551   11.857   20.480    0.009    0.009
CK12   119.6585 23.0898    8.968   10.256    0.009    0.009
CK13   119.6585 23.2246    3.383    5.718    0.009    0.009
CK14   119.6585 23.3593    1.166    3.662    0.009    0.009
CK15   119.8048 22.5509   26.683   15.570    0.009    0.009
CK16   119.8048 22.6856   24.212   15.924    0.009    0.008
CK17   119.8048 22.8203   20.694   16.255    0.009    0.009
CK18   119.8048 22.9551   14.495   18.089    0.009    0.009
CK19   119.8048 23.0898    7.530   10.902    0.009    0.009
CK20   119.8048 23.2246    4.427    5.054    0.009    0.009
CK21   119.8048 23.3593    2.204    5.907    0.009    0.009
CK22   119.9512 22.5509   24.706   14.063    0.009    0.009
CK23   119.9512 22.6856   25.015   15.346    0.009    0.009
CK24   119.9512 22.8203   22.300   16.171    0.009    0.009
CK25   119.9512 22.9551   13.416   20.638    0.009    0.008
CK26   119.9512 23.0898    7.214   11.074    0.009    0.009
CK27   119.9512 23.2246    3.889    4.964    0.009    0.009
CK28   119.9512 23.3593    1.399    2.414    0.009    0.009
CK29   120.0976 22.5509   26.244   15.406    0.009    0.009
CK30   120.0976 22.6856   23.526   14.649    0.009    0.009
CK31   120.0976 22.8203   21.547   16.360    0.009    0.009
CK32   120.0976 22.9551   11.757   21.329    0.009    0.009
CK33   120.0976 23.0898    5.108   12.291    0.009    0.009
CK34   120.0976 23.2246    2.391    6.745    0.009    0.009
CK35   120.0976 23.3593   -1.171    5.615    0.009    0.009
CK36   120.2440 22.5509   27.526   14.429    0.009    0.008
CK37   120.2440 22.6856   24.797   15.832    0.009    0.008
CK38   120.2440 22.8203   20.025   17.643    0.009    0.009
CK39   120.2440 22.9551   14.292   19.853    0.008    0.009
CK40   120.2440 23.0898    4.407   12.378    0.009    0.009
CK41   120.2440 23.2246    3.053    5.535    0.009    0.009
CK42   120.2440 23.3593    1.537    3.014    0.009    0.009
CK43   120.3903 22.5509   26.646   15.790    0.009    0.009
CK44   120.3903 22.6856   25.133   16.361    0.009    0.009
CK45   120.3903 22.8203   20.266   19.824    0.009    0.009
CK46   120.3903 22.9551   12.978   19.703    0.009    0.009
CK47   120.3903 23.0898    5.808   12.548    0.009    0.009
CK48   120.3903 23.2246    3.667    6.749    0.009    0.009
CK49   120.3903 23.3593    2.841    2.290    0.009    0.009
