latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
22.9993343,120.2198301,41.2987,2.87639,69,2023,-35699.954
22.99933434,120.2198301,41.3072,2.87667,69,2023,-36543.808
22.99933432,120.2198301,41.292,2.87694,69,2023,-37387.393
22.99933435,120.2198301,41.305,2.87722,69,2023,-38230.792
22.99933437,120.2198302,41.3129,2.8775,69,2023,-39074.118
22.9993344,120.2198302,41.3095,2.87778,69,2023,-39917.149
22.99933443,120.2198302,41.3115,2.87806,69,2023,-40759.961
22.99933443,120.2198302,41.3182,2.87833,69,2023,-41602.502
22.99933447,120.2198302,41.3159,2.87861,69,2023,-42444.895
22.99933444,120.2198302,41.3146,2.87889,69,2023,-43287.128
22.9993344,120.2198302,41.3139,2.87917,69,2023,-44129.135
22.99933442,120.2198303,41.3258,2.87944,69,2023,-44970.758
22.99933443,120.2198302,41.3127,2.87972,69,2023,-45812.213
22.99933441,120.2198302,41.3174,2.88,69,2023,-46653.449
22.99933442,120.2198303,41.3198,2.88028,69,2023,-47494.509
22.99933438,120.2198303,41.3195,2.88056,69,2023,-48335.412
22.99933439,120.2198303,41.3215,2.88083,69,2023,-49176.087
22.99933438,120.2198302,41.3155,2.88111,69,2023,-50016.529
22.99933438,120.2198302,41.3116,2.88139,69,2023,-50856.712
22.99933441,120.2198302,41.3129,2.88167,69,2023,-51696.793
22.99933441,120.2198302,41.316,2.88194,69,2023,-52536.731
22.99933442,120.2198302,41.3096,2.88222,69,2023,-53376.526
22.9993344,120.2198302,41.3077,2.8825,69,2023,-54216.197
22.99933436,120.2198302,41.3034,2.88278,69,2023,-55055.543
22.9993343,120.2198301,41.2893,2.88306,69,2023,-55894.725
22.99933427,120.2198302,41.2851,2.88333,69,2023,-56733.655
22.99933427,120.2198301,41.2859,2.88361,69,2023,-57572.433
22.99933433,120.2198301,41.2872,2.88389,69,2023,-58411.254
22.99933433,120.2198302,41.2895,2.88417,69,2023,-59249.772
22.99933432,120.2198302,41.2972,2.88444,69,2023,-60088.07
22.99933432,120.2198302,41.3015,2.88472,69,2023,-60926.248
22.99933435,120.2198302,41.2975,2.885,69,2023,-61764.348
22.99933429,120.2198301,41.2875,2.88528,69,2023,-62602.258
22.99933431,120.2198301,41.2813,2.88556,69,2023,-63439.895
22.99933431,120.2198302,41.2872,2.88583,69,2023,-64277.26
22.99933427,120.2198302,41.2822,2.88611,69,2023,-65114.496
22.99933426,120.2198302,41.28,2.88639,69,2023,-65951.647
22.99933428,120.2198302,41.2778,2.88667,69,2023,-66788.572
22.99933427,120.2198302,41.2661,2.88694,69,2023,-67625.339
22.99933426,120.2198302,41.2768,2.88722,69,2023,-68461.861
22.99933424,120.2198302,41.273,2.8875,69,2023,-69298.276
22.99933424,120.2198301,41.2805,2.88778,69,2023,-70134.41
22.99933423,120.2198301,41.2789,2.88806,69,2023,-70970.353
