     lon       lat      ve     vn      eps1      eps1(sig)     eps2      eps2(sig)     theta   theta(sig)  rotation     rot(sig)  dilatation   dila(sig)     gamma    gamma(sig)      psi     psi(sig)  stations
  119.7500   22.6500  45.53  -0.70   0.673E-05   0.766E-06  -0.106E-04   0.761E-06   -43.5721     1.7823  -0.150E-04   0.540E-06  -0.390E-05   0.108E-05   0.174E-04   0.542E-06     1.4279     0.0888  CK16 CK09 CK15 CK08 CK17 CK10 CK23 CK22 CK02
  119.8000   22.6500  45.34  -0.47   0.676E-05   0.745E-06  -0.132E-04   0.738E-06   -40.9659     1.5063  -0.140E-04   0.525E-06  -0.644E-05   0.105E-05   0.200E-04   0.540E-06     4.0341     0.2114  CK16 CK15 CK09 CK23 CK17 CK08 CK22 CK10 CK24
  119.8500   22.6500  45.10  -0.27   0.748E-05   0.809E-06  -0.144E-04   0.801E-06   -36.9470     1.4899  -0.120E-04   0.570E-06  -0.693E-05   0.114E-05   0.219E-04   0.632E-06     8.0530     0.4133  CK16 CK23 CK15 CK22 CK17 CK09 CK24 CK08
  119.9000   22.6500  44.89  -0.19   0.817E-05   0.785E-06  -0.156E-04   0.772E-06   -41.0059     1.3259  -0.114E-04   0.551E-06  -0.747E-05   0.110E-05   0.238E-04   0.566E-06     3.9941     0.1843  CK23 CK16 CK22 CK15 CK24 CK17 CK30 CK29 CK09
  119.9500   22.6500  44.64  -0.19   0.858E-05   0.800E-06  -0.152E-04   0.796E-06   -43.1247     1.3580  -0.115E-04   0.564E-06  -0.665E-05   0.113E-05   0.238E-04   0.568E-06     1.8753     0.0888  CK23 CK22 CK16 CK30 CK24 CK15 CK29 CK17 CK31
  120.0000   22.6500  44.52  -0.16   0.850E-05   0.779E-06  -0.143E-04   0.782E-06   -45.9348     1.3854  -0.121E-04   0.552E-06  -0.580E-05   0.110E-05   0.228E-04   0.552E-06    -0.9348     0.0452  CK23 CK30 CK22 CK29 CK24 CK31 CK16 CK15 CK37
  120.0500   22.6500  44.52  -0.02   0.915E-05   0.727E-06  -0.134E-04   0.747E-06   -51.4696     1.2929  -0.139E-04   0.521E-06  -0.421E-05   0.104E-05   0.225E-04   0.559E-06    -6.4696     0.2970  CK30 CK23 CK29 CK22 CK31 CK24 CK37 CK36 CK16
  120.1000   22.6500  44.52   0.16   0.970E-05   0.622E-06  -0.137E-04   0.636E-06   -54.4433     1.0321  -0.157E-04   0.445E-06  -0.397E-05   0.890E-06   0.234E-04   0.510E-06    -9.4433     0.3531  CK30 CK29 CK37 CK23 CK31 CK36 CK22 CK38 CK24
  120.1500   22.6500  44.68   0.39   0.105E-04   0.527E-06  -0.145E-04   0.552E-06   -56.7389     0.8026  -0.167E-04   0.382E-06  -0.401E-05   0.763E-06   0.250E-04   0.464E-06   -11.7389     0.3486  CK30 CK37 CK29 CK36 CK31 CK38 CK23 CK22 CK44
  120.2000   22.6500  44.67   0.61   0.903E-05   0.712E-06  -0.156E-04   0.722E-06   -55.6379     1.1006  -0.163E-04   0.507E-06  -0.654E-05   0.101E-05   0.246E-04   0.599E-06   -10.6379     0.4286  CK37 CK30 CK36 CK29 CK38 CK44 CK31 CK43
  120.2500   22.6500  44.70   0.83   0.850E-05   0.809E-06  -0.158E-04   0.828E-06   -54.6481     1.2910  -0.149E-04   0.579E-06  -0.725E-05   0.116E-05   0.242E-04   0.667E-06    -9.6481     0.4520  CK37 CK36 CK44 CK30 CK38 CK43 CK29 CK45 CK31
  120.3000   22.6500  44.67   0.95   0.713E-05   0.122E-05  -0.155E-04   0.122E-05   -53.5347     2.0903  -0.129E-04   0.863E-06  -0.836E-05   0.173E-05   0.226E-04   0.968E-06    -8.5347     0.6418  CK37 CK44 CK36 CK43 CK38 CK45 CK30 CK29
  120.3500   22.6500  44.57   0.99   0.677E-05   0.219E-05  -0.164E-04   0.209E-05   -50.3651     3.6702  -0.969E-05   0.151E-05  -0.964E-05   0.302E-05   0.232E-04   0.159E-05    -5.3651     0.6955  CK44 CK43 CK37 CK36 CK45 CK38
  119.5500   22.7000  44.49  -2.35   0.742E-05   0.129E-05  -0.111E-04   0.124E-05   -49.1796     2.7391  -0.157E-04   0.896E-06  -0.372E-05   0.179E-05   0.186E-04   0.924E-06    -4.1796     0.4025  CK02 CK09 CK03 CK01 CK10 CK08
  119.6000   22.7000  44.47  -1.98   0.719E-05   0.986E-06  -0.114E-04   0.984E-06   -51.0676     2.0937  -0.170E-04   0.697E-06  -0.425E-05   0.139E-05   0.186E-04   0.741E-06    -6.0676     0.4502  CK09 CK02 CK10 CK03 CK08 CK01 CK16 CK17
  119.6500   22.7000  44.42  -1.59   0.678E-05   0.903E-06  -0.119E-04   0.913E-06   -50.7775     1.9322  -0.173E-04   0.642E-06  -0.509E-05   0.128E-05   0.186E-04   0.679E-06    -5.7775     0.3950  CK09 CK10 CK02 CK08 CK16 CK03 CK17 CK01 CK15
  119.7000   22.7000  44.39  -1.17   0.671E-05   0.901E-06  -0.118E-04   0.907E-06   -50.7283     1.9340  -0.177E-04   0.639E-06  -0.513E-05   0.128E-05   0.186E-04   0.676E-06    -5.7283     0.3920  CK09 CK16 CK10 CK08 CK17 CK15 CK02 CK03 CK01
  119.7500   22.7000  44.28  -0.85   0.730E-05   0.837E-06  -0.140E-04   0.850E-06   -49.4544     1.5840  -0.175E-04   0.597E-06  -0.672E-05   0.119E-05   0.213E-04   0.618E-06    -4.4544     0.2483  CK16 CK09 CK17 CK10 CK15 CK08 CK23 CK24 CK02
  119.8000   22.7000  44.08  -0.60   0.720E-05   0.806E-06  -0.151E-04   0.805E-06   -44.2048     1.4620  -0.156E-04   0.570E-06  -0.791E-05   0.114E-05   0.223E-04   0.570E-06     0.7952     0.0406  CK16 CK17 CK09 CK15 CK23 CK10 CK24 CK08 CK22
  119.8500   22.7000  43.86  -0.46   0.809E-05   0.722E-06  -0.163E-04   0.717E-06   -43.1548     1.1957  -0.143E-04   0.509E-06  -0.819E-05   0.102E-05   0.244E-04   0.512E-06     1.8452     0.0770  CK16 CK23 CK17 CK15 CK24 CK22 CK09 CK10 CK08 CK30
  119.9000   22.7000  43.67  -0.31   0.916E-05   0.710E-06  -0.177E-04   0.703E-06   -42.5234     1.0659  -0.127E-04   0.499E-06  -0.852E-05   0.999E-06   0.268E-04   0.505E-06     2.4766     0.0920  CK23 CK16 CK24 CK17 CK22 CK15 CK30 CK31 CK09 CK29
  119.9500   22.7000  43.42  -0.34   0.957E-05   0.798E-06  -0.173E-04   0.797E-06   -44.2115     1.2048  -0.127E-04   0.564E-06  -0.770E-05   0.113E-05   0.268E-04   0.565E-06     0.7885     0.0332  CK23 CK24 CK16 CK30 CK22 CK17 CK31 CK15 CK29
  120.0000   22.7000  43.27  -0.33   0.979E-05   0.676E-06  -0.160E-04   0.679E-06   -46.3959     1.0613  -0.132E-04   0.479E-06  -0.624E-05   0.958E-06   0.258E-04   0.481E-06    -1.3959     0.0518  CK23 CK30 CK24 CK31 CK22 CK29 CK16 CK17 CK37 CK15
  120.0500   22.7000  43.20  -0.25   0.977E-05   0.610E-06  -0.154E-04   0.620E-06   -49.5068     0.9772  -0.147E-04   0.435E-06  -0.565E-05   0.870E-06   0.252E-04   0.451E-06    -4.5068     0.1550  CK30 CK23 CK31 CK24 CK29 CK22 CK37 CK38 CK36 CK16
  120.1000   22.7000  43.16  -0.12   0.101E-04   0.603E-06  -0.147E-04   0.611E-06   -52.1029     0.9619  -0.159E-04   0.429E-06  -0.466E-05   0.858E-06   0.248E-04   0.466E-06    -7.1029     0.2435  CK30 CK31 CK37 CK29 CK23 CK38 CK24 CK36 CK22
  120.1500   22.7000  43.25   0.07   0.110E-04   0.484E-06  -0.151E-04   0.501E-06   -54.1158     0.7272  -0.167E-04   0.348E-06  -0.418E-05   0.697E-06   0.261E-04   0.396E-06    -9.1158     0.2395  CK30 CK37 CK31 CK38 CK29 CK36 CK23 CK24 CK44 CK22
  120.2000   22.7000  43.30   0.28   0.100E-04   0.495E-06  -0.159E-04   0.512E-06   -53.7743     0.7504  -0.164E-04   0.356E-06  -0.581E-05   0.712E-06   0.259E-04   0.401E-06    -8.7743     0.2373  CK37 CK30 CK38 CK36 CK31 CK29 CK44 CK45 CK43 CK23
  120.2500   22.7000  43.35   0.46   0.103E-04   0.666E-06  -0.156E-04   0.678E-06   -54.7876     0.9907  -0.157E-04   0.475E-06  -0.521E-05   0.951E-06   0.259E-04   0.550E-06    -9.7876     0.3523  CK37 CK38 CK44 CK36 CK30 CK45 CK31 CK43 CK29
  120.3000   22.7000  43.44   0.61   0.102E-04   0.103E-05  -0.155E-04   0.102E-05   -54.6023     1.5242  -0.143E-04   0.724E-06  -0.527E-05   0.145E-05   0.257E-04   0.834E-06    -9.6023     0.5309  CK37 CK44 CK38 CK45 CK36 CK43 CK30 CK31
  120.3500   22.7000  43.53   0.68   0.106E-04   0.195E-05  -0.153E-04   0.180E-05   -53.7618     2.7993  -0.119E-04   0.133E-05  -0.466E-05   0.265E-05   0.259E-04   0.150E-05    -8.7618     0.8839  CK44 CK37 CK45 CK43 CK38 CK36
  119.5500   22.7500  42.48  -2.37   0.147E-04   0.185E-05  -0.188E-04   0.185E-05   -44.9793     2.2354  -0.220E-04   0.131E-05  -0.407E-05   0.262E-05   0.336E-04   0.131E-05     0.0207     0.0016  CK02 CK03 CK09 CK10 CK01 CK04 CK08 CK11
  119.6000   22.7500  42.46  -2.06   0.151E-04   0.123E-05  -0.175E-04   0.121E-05   -47.6459     1.5093  -0.231E-04   0.861E-06  -0.245E-05   0.172E-05   0.326E-04   0.872E-06    -2.6459     0.1398  CK09 CK10 CK02 CK03 CK08 CK11 CK16 CK17 CK01 CK04
  119.6500   22.7500  42.50  -1.69   0.152E-04   0.113E-05  -0.173E-04   0.113E-05   -49.1578     1.3945  -0.238E-04   0.799E-06  -0.202E-05   0.160E-05   0.325E-04   0.824E-06    -4.1578     0.2038  CK09 CK10 CK02 CK03 CK16 CK17 CK08 CK11 CK01 CK04
  119.7000   22.7500  42.36  -1.27   0.125E-04   0.109E-05  -0.189E-04   0.109E-05   -45.2841     1.4011  -0.246E-04   0.768E-06  -0.632E-05   0.154E-05   0.314E-04   0.768E-06    -0.2841     0.0139  CK09 CK10 CK16 CK17 CK02 CK03 CK08 CK11 CK15 CK18
  119.7500   22.7500  42.26  -0.96   0.144E-04   0.823E-06  -0.195E-04   0.824E-06   -46.2237     0.9816  -0.237E-04   0.582E-06  -0.513E-05   0.116E-05   0.340E-04   0.584E-06    -1.2237     0.0420  CK16 CK17 CK09 CK10 CK15 CK23 CK18 CK24 CK08 CK11 CK02 CK03
  119.8000   22.7500  42.17  -0.67   0.159E-04   0.952E-06  -0.202E-04   0.949E-06   -46.9073     1.0642  -0.229E-04   0.672E-06  -0.422E-05   0.134E-05   0.361E-04   0.677E-06    -1.9073     0.0710  CK16 CK17 CK09 CK10 CK23 CK24 CK15 CK18 CK08 CK11
  119.8500   22.7500  41.89  -0.54   0.135E-04   0.893E-06  -0.237E-04   0.900E-06   -42.9319     0.9750  -0.209E-04   0.634E-06  -0.102E-04   0.127E-05   0.372E-04   0.639E-06     2.0681     0.0703  CK16 CK17 CK23 CK24 CK09 CK10 CK15 CK18 CK22 CK25
  119.9000   22.7500  41.72  -0.46   0.168E-04   0.738E-06  -0.234E-04   0.739E-06   -44.5667     0.7452  -0.186E-04   0.522E-06  -0.663E-05   0.104E-05   0.401E-04   0.522E-06     0.4333     0.0113  CK23 CK24 CK16 CK17 CK22 CK30 CK31 CK25 CK15 CK18 CK09
  119.9500   22.7500  41.66  -0.53   0.138E-04   0.747E-06  -0.219E-04   0.747E-06   -44.9461     0.8489  -0.169E-04   0.528E-06  -0.812E-05   0.106E-05   0.357E-04   0.528E-06     0.0539     0.0016  CK23 CK24 CK16 CK30 CK17 CK31 CK22 CK25 CK15 CK29
  120.0000   22.7500  41.40  -0.52   0.148E-04   0.785E-06  -0.223E-04   0.786E-06   -44.5335     0.8591  -0.182E-04   0.556E-06  -0.750E-05   0.111E-05   0.371E-04   0.556E-06     0.4665     0.0140  CK23 CK24 CK30 CK31 CK22 CK16 CK17 CK25 CK29 CK32
  120.0500   22.7500  41.28  -0.47   0.161E-04   0.781E-06  -0.184E-04   0.770E-06   -48.5661     0.9035  -0.192E-04   0.548E-06  -0.223E-05   0.110E-05   0.345E-04   0.561E-06    -3.5661     0.1131  CK30 CK31 CK23 CK24 CK37 CK29 CK38 CK32 CK22 CK25
  120.1000   22.7500  41.42  -0.32   0.136E-04   0.668E-06  -0.175E-04   0.664E-06   -48.7656     0.8605  -0.188E-04   0.471E-06  -0.399E-05   0.942E-06   0.311E-04   0.483E-06    -3.7656     0.1138  CK30 CK31 CK37 CK38 CK23 CK24 CK29 CK32 CK36 CK22
  120.1500   22.7500  41.30  -0.13   0.151E-04   0.685E-06  -0.204E-04   0.683E-06   -47.5311     0.7769  -0.214E-04   0.484E-06  -0.526E-05   0.967E-06   0.355E-04   0.489E-06    -2.5311     0.0688  CK30 CK31 CK37 CK38 CK29 CK23 CK24 CK32 CK36 CK39 CK44
  120.2000   22.7500  41.34   0.04   0.178E-04   0.759E-06  -0.187E-04   0.741E-06   -51.3074     0.8123  -0.219E-04   0.530E-06  -0.898E-06   0.106E-05   0.365E-04   0.567E-06    -6.3074     0.1818  CK37 CK38 CK30 CK31 CK44 CK45 CK36 CK39 CK29 CK32
  120.2500   22.7500  41.45   0.24   0.159E-04   0.761E-06  -0.192E-04   0.755E-06   -49.4341     0.8635  -0.215E-04   0.536E-06  -0.332E-05   0.107E-05   0.351E-04   0.555E-06    -4.4341     0.1347  CK37 CK38 CK44 CK45 CK30 CK31 CK36 CK39 CK43 CK46
  120.3000   22.7500  41.54   0.43   0.170E-04   0.859E-06  -0.183E-04   0.839E-06   -50.2624     0.9597  -0.208E-04   0.601E-06  -0.131E-05   0.120E-05   0.353E-04   0.630E-06    -5.2624     0.1783  CK37 CK38 CK44 CK45 CK36 CK30 CK39 CK31 CK43 CK46
  120.3500   22.7500  41.72   0.58   0.196E-04   0.142E-05  -0.169E-04   0.129E-05   -52.2895     1.4593  -0.195E-04   0.959E-06   0.265E-05   0.192E-05   0.365E-04   0.105E-05    -7.2895     0.3796  CK44 CK45 CK37 CK38 CK43 CK46 CK36 CK39
  119.5500   22.8000  40.59  -2.41   0.220E-04   0.320E-05  -0.268E-04   0.324E-05   -43.5471     2.6768  -0.282E-04   0.228E-05  -0.475E-05   0.456E-05   0.487E-04   0.229E-05     1.4529     0.1357  CK03 CK10 CK02 CK09 CK04 CK11
  119.6000   22.8000  40.49  -2.14   0.217E-04   0.194E-05  -0.249E-04   0.194E-05   -45.2873     1.6878  -0.294E-04   0.137E-05  -0.323E-05   0.275E-05   0.466E-04   0.137E-05    -0.2873     0.0169  CK10 CK03 CK09 CK02 CK11 CK04 CK17 CK16
  119.6500   22.8000  40.20  -1.79   0.198E-04   0.139E-05  -0.232E-04   0.139E-05   -44.6995     1.3097  -0.291E-04   0.982E-06  -0.340E-05   0.196E-05   0.429E-04   0.982E-06     0.3005     0.0137  CK10 CK09 CK03 CK11 CK17 CK02 CK16 CK04 CK18 CK08
  119.7000   22.8000  40.28  -1.36   0.214E-04   0.145E-05  -0.246E-04   0.145E-05   -45.3246     1.2736  -0.317E-04   0.102E-05  -0.317E-05   0.205E-05   0.460E-04   0.102E-05    -0.3246     0.0144  CK10 CK17 CK09 CK16 CK11 CK18 CK03 CK02 CK04
  119.7500   22.8000  40.26  -1.08   0.212E-04   0.135E-05  -0.266E-04   0.134E-05   -44.1527     1.1410  -0.306E-04   0.951E-06  -0.541E-05   0.190E-05   0.478E-04   0.952E-06     0.8473     0.0337  CK17 CK10 CK16 CK09 CK18 CK11 CK24 CK23 CK03
  119.8000   22.8000  39.89  -0.82   0.205E-04   0.114E-05  -0.259E-04   0.114E-05   -45.0333     0.9933  -0.273E-04   0.804E-06  -0.534E-05   0.161E-05   0.464E-04   0.804E-06    -0.0333     0.0012  CK17 CK16 CK10 CK24 CK18 CK09 CK23 CK11 CK25 CK15
  119.8500   22.8000  39.94  -0.68   0.231E-04   0.100E-05  -0.285E-04   0.101E-05   -45.5569     0.7883  -0.277E-04   0.710E-06  -0.547E-05   0.142E-05   0.516E-04   0.710E-06    -0.5569     0.0153  CK17 CK24 CK16 CK23 CK18 CK25 CK10 CK09 CK11 CK31
  119.9000   22.8000  39.81  -0.67   0.220E-04   0.967E-06  -0.294E-04   0.967E-06   -44.9780     0.7619  -0.258E-04   0.684E-06  -0.745E-05   0.137E-05   0.514E-04   0.684E-06     0.0220     0.0006  CK24 CK17 CK23 CK16 CK25 CK18 CK31 CK30 CK10
  119.9500   22.8000  39.47  -0.64   0.211E-04   0.845E-06  -0.263E-04   0.845E-06   -45.3103     0.7223  -0.226E-04   0.598E-06  -0.512E-05   0.120E-05   0.474E-04   0.598E-06    -0.3103     0.0078  CK24 CK23 CK17 CK31 CK25 CK16 CK30 CK18 CK32 CK22
  120.0000   22.8000  39.56  -0.65   0.227E-04   0.827E-06  -0.262E-04   0.831E-06   -46.0915     0.6871  -0.243E-04   0.586E-06  -0.347E-05   0.117E-05   0.488E-04   0.587E-06    -1.0915     0.0262  CK24 CK31 CK23 CK30 CK25 CK32 CK17 CK16 CK38 CK18
  120.0500   22.8000  39.46  -0.60   0.206E-04   0.887E-06  -0.249E-04   0.888E-06   -45.0559     0.7894  -0.249E-04   0.628E-06  -0.433E-05   0.126E-05   0.455E-04   0.628E-06    -0.0559     0.0015  CK31 CK24 CK30 CK23 CK32 CK25 CK38 CK37 CK17 CK39
  120.1000   22.8000  39.23  -0.47   0.191E-04   0.928E-06  -0.231E-04   0.928E-06   -45.4270     0.8903  -0.240E-04   0.656E-06  -0.395E-05   0.131E-05   0.422E-04   0.656E-06    -0.4270     0.0133  CK31 CK30 CK38 CK24 CK32 CK37 CK23 CK39 CK25 CK29
  120.1500   22.8000  39.36  -0.33   0.205E-04   0.106E-05  -0.237E-04   0.106E-05   -45.4059     0.9718  -0.254E-04   0.749E-06  -0.325E-05   0.150E-05   0.442E-04   0.749E-06    -0.4059     0.0138  CK31 CK38 CK30 CK37 CK32 CK39 CK24 CK23 CK45
  120.2000   22.8000  39.37  -0.17   0.221E-04   0.944E-06  -0.228E-04   0.948E-06   -46.2644     0.8527  -0.266E-04   0.669E-06  -0.786E-06   0.134E-05   0.449E-04   0.671E-06    -1.2644     0.0377  CK38 CK31 CK37 CK30 CK39 CK32 CK45 CK44 CK46 CK24
  120.2500   22.8000  39.35   0.09   0.224E-04   0.917E-06  -0.215E-04   0.914E-06   -48.7739     0.8366  -0.259E-04   0.647E-06   0.868E-06   0.129E-05   0.439E-04   0.664E-06    -3.7739     0.1109  CK38 CK37 CK45 CK31 CK39 CK44 CK30 CK46 CK32 CK36
  120.3000   22.8000  39.67   0.24   0.255E-04   0.113E-05  -0.210E-04   0.113E-05   -48.9589     0.9772  -0.273E-04   0.800E-06   0.445E-05   0.160E-05   0.465E-04   0.823E-06    -3.9589     0.1359  CK38 CK45 CK37 CK44 CK39 CK46 CK31 CK30
  120.3500   22.8000  40.01   0.45   0.287E-04   0.164E-05  -0.186E-04   0.155E-05   -51.3869     1.3325  -0.273E-04   0.113E-05   0.101E-04   0.226E-05   0.473E-04   0.121E-05    -6.3869     0.3021  CK45 CK38 CK44 CK37 CK46 CK39
  119.5500   22.8500  37.41  -2.35   0.321E-04   0.275E-05  -0.313E-04   0.281E-05   -43.3674     1.7780  -0.351E-04   0.197E-05   0.773E-06   0.393E-05   0.634E-04   0.198E-05     1.6326     0.1013  CK03 CK04 CK10 CK11 CK02 CK09 CK05
  119.6000   22.8500  37.37  -2.13   0.304E-04   0.172E-05  -0.312E-04   0.173E-05   -42.7027     1.1341  -0.366E-04   0.122E-05  -0.853E-06   0.244E-05   0.616E-04   0.123E-05     2.2973     0.0908  CK10 CK03 CK11 CK04 CK09 CK02 CK17 CK18 CK12
  119.6500   22.8500  37.16  -1.77   0.296E-04   0.142E-05  -0.303E-04   0.143E-05   -43.0726     0.9649  -0.374E-04   0.101E-05  -0.734E-06   0.202E-05   0.599E-04   0.101E-05     1.9274     0.0649  CK10 CK11 CK03 CK17 CK09 CK04 CK18 CK02 CK16 CK12
  119.7000   22.8500  37.09  -1.36   0.296E-04   0.136E-05  -0.289E-04   0.136E-05   -43.8830     0.9397  -0.378E-04   0.961E-06   0.714E-06   0.192E-05   0.586E-04   0.963E-06     1.1170     0.0366  CK10 CK17 CK11 CK18 CK09 CK03 CK16 CK04 CK12 CK02
  119.7500   22.8500  37.20  -1.18   0.286E-04   0.122E-05  -0.315E-04   0.122E-05   -43.7741     0.8233  -0.357E-04   0.863E-06  -0.292E-05   0.173E-05   0.600E-04   0.865E-06     1.2259     0.0352  CK17 CK10 CK18 CK11 CK16 CK09 CK24 CK25 CK03 CK19
  119.8000   22.8500  36.96  -0.92   0.289E-04   0.117E-05  -0.319E-04   0.117E-05   -44.5308     0.7769  -0.340E-04   0.824E-06  -0.297E-05   0.165E-05   0.608E-04   0.824E-06     0.4692     0.0127  CK17 CK18 CK10 CK24 CK16 CK11 CK25 CK09 CK23 CK19
  119.8500   22.8500  36.96  -0.82   0.297E-04   0.107E-05  -0.331E-04   0.107E-05   -44.8676     0.6925  -0.329E-04   0.759E-06  -0.344E-05   0.152E-05   0.628E-04   0.759E-06     0.1324     0.0032  CK17 CK24 CK18 CK25 CK16 CK23 CK10 CK11 CK19 CK31
